id	r	g	b
542	227	186	179
543	224	187	171
544	221	189	163
545	217	190	157
546	213	193	152
547	208	195	147
548	202	197	144
549	197	199	142
550	191	201	143
551	185	203	146
552	180	205	149
553	175	206	154
554	171	207	160
555	167	209	167
556	165	210	175
557	163	211	184
558	163	211	195
559	163	212	205
560	164	212	214
561	167	212	223
562	170	211	230
563	174	209	237
564	179	207	242
565	185	205	246
566	191	203	248
567	197	200	249
568	204	198	249
569	211	196	248
570	217	194	245
571	222	192	241
572	226	190	236
573	229	188	228
574	231	187	220
575	231	186	210
576	230	186	200
577	234	190	194
578	231	191	184
579	229	191	175
580	226	193	167
581	222	195	160
582	218	197	155
583	212	199	150
584	207	202	148
585	201	204	146
586	196	206	147
587	190	208	149
588	184	209	153
589	179	211	157
590	175	212	163
591	171	214	171
592	168	215	179
593	167	216	189
594	166	217	199
595	167	217	210
596	168	217	219
597	171	217	227
598	174	216	235
599	178	214	241
600	183	212	246
601	189	210	250
602	195	208	252
603	202	205	253
604	209	203	253
605	216	200	252
606	222	198	250
607	227	196	246
608	231	194	240
609	234	193	233
610	235	192	225
611	236	191	215
612	235	190	205
613	238	195	199
614	236	195	188
615	233	196	179
616	230	197	170
617	226	199	164
618	222	201	158
619	217	204	154
620	212	206	151
621	206	208	150
622	200	210	150
623	194	212	153
624	188	214	156
625	183	215	160
626	178	217	167
627	174	218	174
628	172	220	183
629	170	221	194
630	170	222	204
631	170	222	215
632	172	222	224
633	174	222	232
634	178	221	239
635	182	219	245
636	187	217	250
637	193	215	254
638	200	213	255
639	207	210	255
640	214	208	255
641	221	205	255
642	227	203	254
643	232	201	250
644	236	199	245
645	239	197	238
646	240	196	229
647	240	195	220
648	240	195	210
649	242	199	204
650	240	200	193
651	237	200	183
652	234	202	174
653	230	204	167
654	226	206	161
655	221	208	157
656	216	211	154
657	211	213	153
658	205	215	154
659	198	217	156
660	193	218	159
661	187	220	164
662	182	221	170
663	178	223	178
664	176	224	188
665	174	225	198
666	174	226	209
667	174	227	219
668	176	227	228
669	178	227	236
670	181	226	243
671	186	224	249
672	191	222	254
673	198	220	255
674	205	218	255
675	212	215	255
676	219	213	255
677	226	210	255
678	232	208	255
679	236	206	254
680	240	204	249
681	243	202	242
682	244	201	234
683	244	200	225
684	244	199	214
685	246	204	208
686	244	204	197
687	241	205	187
688	238	206	178
689	234	208	170
690	230	210	164
691	225	213	160
692	220	215	157
693	215	217	156
694	209	219	157
695	203	221	159
696	197	223	162
697	191	224	167
698	186	226	174
699	182	227	182
700	179	229	192
701	178	230	203
702	177	231	214
703	178	232	224
704	179	232	233
705	182	231	240
706	185	230	247
707	190	229	253
708	195	227	255
709	202	225	255
710	209	222	255
711	217	220	255
712	224	217	255
713	230	215	255
714	236	212	255
715	240	210	255
716	244	208	253
717	247	207	246
718	248	205	238
719	248	205	229
720	248	204	219
721	250	209	213
722	248	209	202
723	245	210	191
724	242	211	182
725	238	212	174
726	234	215	167
727	229	217	163
728	224	219	160
729	219	221	159
730	213	223	160
731	207	225	162
732	201	227	165
733	196	228	170
734	190	230	177
735	186	231	186
736	183	233	196
737	182	234	207
738	181	235	218
739	182	236	228
740	183	236	237
741	186	236	244
742	189	235	251
743	194	233	255
744	200	232	255
745	207	229	255
746	214	227	255
747	221	224	255
748	228	222	255
749	235	219	255
750	240	217	255
751	244	215	255
752	248	213	255
753	251	211	250
754	252	210	243
755	252	209	234
756	251	209	224
